title,alt_title,type,description,genre,author,artist,rate,image,released
The Crazy Genius Composer Returns,,Manhwa,Sukses kehormatan keluarga Min Hyunseung bla bla bla alah kelamaan baca ae lahpokoknya regresi,Drama,-,-,7.0,https://westmanga.fun/wp-content/uploads/2024/06/The-Crazy-Genius-Composer-Returns-210x300.jpg,-
The Crow,"Chu Wu, Chǔ Wū, Clear Crow, The Crow, 楚乌",Manhua,Orangorang menjadi hantu saat meninggal dan akan memasuki dunia fisik melalui sebuah pintu untuk menyebabkan kekacauan Zhang Zha seorang kurir pengantar barang secara tidak sengaja memasuki sebuah rumah berhantu dan mengakibatkan krisis  keluarnya hantu Dengan demikian orangorang dari semua faksi mulai muncul dalam cerita sementara Zhang Zha terus berkembang setelah mengalami serangkaian petualangan dan pertarungan dengan gulungan misterius tentang Jianghu modern yang perlahanlahan terungkap,"Action, Drama, Fantasy, Horror, Shounen",Mo Fei,-,7.11,https://westmanga.fun/wp-content/uploads/2023/10/The-Crow-copy.jpg,-
The Crown Prince That Sells Medicine,"Crown Prince Sells Medicine, 약 파는 황태자",Manhwa,"Oleh Penulis yang membawakan Anda 
Saya putra mahkota Putra mahkota yang lemah dan sakitsakitan dalam novel Tapi saya seorang dokter pengobatan tradisional Korea Kurasa mau bagaimana lagi Mereformasi konstitusi internal memulihkan energi menyegarkan energi vital dan meningkatkan vitalitas Saya akan merawat tubuh saya mulai sekarang
Author nya Kang Kuli Guys hehe","Action, Adventure, Comedy, Fantasy","BK_Moon, LEE Hyun-Min",-,7.2,https://westmanga.fun/wp-content/uploads/2023/12/The-Crown-Prince-That-Sells-Medicine-207x300.jpg,-
The Cuckoos Fiancee,"A Couple of Cuckoos, Cuckoo no Iinazuke, Kakkou no Iinazuke, カッコウの許嫁",Manga,Komedi romantis tentang Nagi pergi yang harus datang ke pertemuan dengan orang tua kandungnya dan tentang Erika yang tersiksa oleh pertunangan yang tidak diinginkannya,"Comedy, Harem, Romance, School life, Shounen",Miki Yoshikawa,-,7.6,https://westmanga.fun/wp-content/uploads/2021/01/1610747808-4394-Le-fiance-du-coucou-201x300.jpg,-
The Cursed Strongest Player Dominates Again in This Life,The Cursed Strongest Player Rules the World; 呪われた最強プレイヤーは今世も無双する • Norowareta Saikyou Player wa Konse mo Musousuru,Manga,Di dunia yang dihuni oleh berbagai ras seperti manusia malaikat iblis dan makhluk buas terjadi perebutan kekuasaan Ancaman besar dari Raja Iblis Sada membuat dunia dilanda kekacauan Dalam latar tersebut ada sebuah game VR populer bernama Shink Henkyo Zen Nose seorang pemain setia berhasil menjadi satusatunya pemain di antara jutaan lainnya yang berhasil mengalahkan Raja Iblis Sada Namun sesaat setelah kemenangannya Zen diselimuti cahaya yang keluar dari monitor dan tersedot ke dalam dunia game Anehnya di dunia game tersebut dia muncul dalam wujud Raja Iblis Sada yang telah dia kalahkan,"Action, Fantasy, Game",-,-,7.0,https://westmanga.fun/wp-content/uploads/2024/06/The-Cursed-Strongest-Player-Dominates-Again-in-This-Life.jpg,-
The Daily Life of the Late Bloomer Tamer,"A Late-Start Tamer's Laid-Back Life (Novel), Deokure Teima no Sonohigurashi (Novel), The Daily Life of the Late Bloomer Tamer (Novel), The Life and Times of a Late Bloomer Tamer (Novel), 出遅れテイマーのその日ぐらし (Novel)",Manga,Law of Justice Online adalah Game VRRPG pertama yang dibuat di Jepang Yuta Sasaki secara ajaib terpilih menjadi orang pertama yang mendapatkan game ini dari 20 juta orang lainnya game yang selalu ia impikan Tentu saja dia dengan cepat merencanakan sebuah game sesi maraton Setelah memperoleh pekerjaan impiannya sebagai seorang penakluk Yuto aka Yuta tiba di dunia LJO dengan harapan yang besar namun Apa maksudmu monsterku tidak memiliki kekuatan bertarung sama sekali Seorang petani Gnome Tapi dia sudah pasti seorang petani Bagaimanakah masadepan yang akan menanti Yuto dan siapa yang akan menjadi penghalang dari langkah pertamanya Sebuah awal yang telat bagi seorang penakluk di kehidupannya yang santai,"Adventure, Comedy, Fantasy, Sci fi, Shounen",TANAKA Yuu,Nardack,7.0,https://westmanga.fun/wp-content/uploads/2022/02/The-Daily-Life-of-the-Late-Bloomer-Tamer.jpg,-
The Dark Mages Return to Enlistment,귀환했는데 입대 전날이다,Manhwa,"Kim MinJun anak sekolah menengah biasa tibatiba dipanggil ke dunia lain yang membuatnya menjadi penyihir hitam
Demi kembali ke dunia asalnya dia melewati berbagai kesulitan dan menyelamatkan dunia lain dengan kekuatan sihir hitam sebelum dia meninggalkan semua kekayaan dan kejayaannya sebagai pahlawan untuk kembali ke bumi
Namun masalah muncul sebelum dia bisa menikmati kehidupannya yang baru di bumi Terdapat Dungeon dan monster yang memenuhi dunia dan mengancam harinya yang damai
Karena itu MinJun yang baru kembali ke bumi tidak punya pilihan selain memasuki militer esok harinya","Action, Adventure, Fantasy, Magic",-,-,8.0,https://westmanga.fun/wp-content/uploads/2023/03/The-Dark-Mages-Return-to-Enlistment-231x300.jpg,-
The Dark Magician Transmigrates After 66666 Years,66666년 만에 환생한 흑마법사,Manhwa,Diablo Volfir penyihir terhebat yang disegel karena rencana jahat para 12 dewa tapi 66666 tahun telah berlalu sejak saat itu dan ia turun sekali lagi ke bumi ,"Adventure, Fantasy, Magic, Reincarnation, Shounen, Super Power","타루, 화봉 / 파사",-,7.5,https://westmanga.fun/wp-content/uploads/2021/06/The-Dark-Magician-Transmigrates-210x300.jpg,-
The Death Game Is All That Saotomesan Has Left,早乙女さんにはもうデスゲームしかない,Manga,Selama liburan musim panas dengan kelas 2A Makoto dan temanteman sekelasnya menemukan diri mereka terbangun di sebuah gedung sekolah tak dikenal yang ditinggalkan di hutan Ternyata mereka telah ditangkap dan disandera oleh orang tak dikenal yang memiliki niat untuk membuat dua siswa berpartisipasi dalam permainan kematian di mana Makoto dijemput bersama dengan teman sekelasnya Saotome Ikuti Makoto dan Saotome saat mereka mengungkap kebenaran di balik permainan kematian,"Comedy, Oneshot, Romance, Shounen",MIKAMI Hiroshi,MIKAMI Hiroshi,7.5,https://westmanga.fun/wp-content/uploads/2021/08/The-Death-Game-Is-All-That-Saotome-san-Has-Left.jpg,-
The Delivery Man From Murim,"Delivery Man From Moorim, The Delivery Man From Moorim, The Delivery Man From Murim, 무림에서 온 배달부",Manhwa,"Dewa bela diri Murim menjadi pengantar barang super cepat
Bahkan sebelum mencapai usia empat puluh dewa perang Kang So telah menaklukkan dunia Saat dia sedang mengkonsolidasikan energinya setelah mencapai pencerahan dia tibatiba turun ke celah yang baru terbentuk
Dia tiba di Korea Selatan abad ke21 sebuah negeri yang terpencil oleh gerbang dan binatang iblis Di sini dewa perang dari dunia persilatan yang sekarang menjadi pengantar barang akan membawa kedamaian","Action, Drama, Fantasy, Martial arts, Shounen",Hyangran,-,7.0,https://westmanga.fun/wp-content/uploads/2023/11/The-Delivery-Man-From-Murim.jpg,-
The Demon King Who Lost His Job,"The Demon King Who Lost His Job, 失业魔王",Manhua,dia adalah raja dunia iblis yang nganggur dan ada seorang pahlawan pemberani yang dipecat karena gagal dalam ekspedisi takdir mengikat mereka berdua sebagai awal dari petualangan penuh misteri,"Action, Comedy, Demons, Fantasy, Romance",Ye Wu,Tang Li Shui,7.1,https://westmanga.fun/wp-content/uploads/2021/01/1610748044-6697-.jpg,-
The Demon Prince goes to the Academy,마왕은 학원에 간다,Manhwa,Saya meninggal saat membaca komentar kebencian di novel saya Saya sudah shock atas kematian saya tetapi beberapa Grim Reaper muncul dan mengatakan kepada saya bahwa menjadi penulis yang buruk adalah dosa Untuk menebus dan membuatnya masuk surga saya diberi tahu bahwa saya harus bertahan melewati akhir dari salah satu novel saya Jadi saya masuk ke novel The Demon King is Dead Sialan Kenapa ini harus terjadi padaku Sayangnya karakter yang kumiliki adalah Pangeran Iblis karakter yang tidak memiliki kemampuan bertarungyang mati di awal cerita,"Action, Adventure, Comedy, Drama, Fantasy, Harem, Psychological, Romance, School life, Tragedy",Geul Jengi S,-,7.0,https://westmanga.fun/wp-content/uploads/2023/01/The-Demon-Prince-goes-to-the-Academy-210x300.jpg,-
