title,alt_title,type,description,genre,author,artist,rate,image,released
Perfect Surgeon,"퍼펙트 써전, PFS",Manhwa,"Saat dia masih kecil ayahnya dikabarkan meninggal akibat kecelakaan mobil Tapi sebenarnya yang menjadi penyebab kematiannya adalah kelalaian medis Semenjak itu mimpinya adalah untuk menjadi seorang dokter sempurna yang tidak akan menolak dan lalai dalam mengobati pasien Meski begitu kenyataan terlalu keras Ibunya mengidap penyakit yang tidak bisa disembuhkan yang memerlukan banyak uang Dia berhenti dari internhip di rumah sakit universitasnya dan menjadi dermatologis Saat dia berhenti dari jalannya akibat kerasnya kehidupan nyata maha karya AI Ronnie datang padanya Dengan ini perjalananya untuk menjadi dokter sempurna dimulai sekali lagi

 Post Views 131","Drama, Fantasy, Medical, Sci-Fi, Shounen","MoiDal,뫼달",-,8.0,https://komikcast.cz/wp-content/uploads/2022/03/perfectsurgeon.jpg?w=225&q=50,2022
Otherworldly Sword King’s Survival Records,"Survival Story of a Sword King in a Fantasy World The Survival Record of the Sword King in Another World, 이계 검왕 생존기",Manhwa,"Kau terpilih sebagai yang paling cocok Dengan bakatmu tingkat kelangsungan hidup 5 di Selha Latna lebih rendah Apakah kau ingin bunuh diri Y  T 22 tahun Pertempuran yang tak terhitung jumlahnya dengan anjing iblis Di neraka ini aku bertahan hidup sendirian Tersembunyi di belakang level 5 bersama dengan statistik tersembunyi yang keterlaluan Catatan bertahan hidup ekstrim dari pendekar pedang level 5 terkuat Ryu han bin yang terlempar ke dunia lain ini hanya dengan pedang

 Post Views 305","Action, Adventure, Comedy, Demons, Fantasy, Isekai, Magic, Martial Arts","Kwon sun kyu, studio khit",-,7.0,https://komikcast.cz/wp-content/uploads/2023/07/otherworldly.jpg?w=225&q=50,2020
Ghost Fixers,ゴーストフィクサーズ,Manga,"Setelah peristiwa tertentu Kota Baru Mikurigaoka berubah menjadi wadah fenomena supernatural yang dikenal sebagai HANTU Di kota tersebut tinggal Hifumi seorang anak sekolah menengah yang suatu hari bertemu dengan seorang gadis yang baru saja pindah Bantu memperbaiki hal supernatural dalam kisah penuh aksi dari Yasuki Tanaka pencipta Summer Time Rendering

 Post Views 51","Action, Shounen",TANAKA Yasuki,-,7.0,https://komikcast.cz/wp-content/uploads/2024/03/ghost.jpg?w=225&q=50,2024
Might Through Death,"Become Stronger as You Die, Deadly Strong, Shinuhodo Tsuyoku Nare, 死ぬほど強くなれ, 致死至强, 죽는 만큼 강해져라",Manhwa,"Mati hidup kembali dan tumbuh lebih kuat Kisah prajurit immortal
Bangkitlah Manusia
Shinogami Ai rekrutan terlemah di United Galactic Army seharusnya tewas di medan perang Namun dada yang ditusuk oleh Kaiki musuh umat manusia telah pulih dan lengan yang robek telah menyambung kembali Di ambang kematian Ai membuat kontrak dengan Nosferatu raja Kaiki untuk hidup berdampingan dengannya di dalam tubuhnya Melalui kontrak ini Ai dapat bangkit kembali meski telah mati berkalikali dan kemampuan fisiknya terus meningkat seiring ia menyatu dengan Nosferatu Ai selalu kembali sendirian dari pertempuran di mana seluruh unitnya dimusnahkan membuatnya mendapat julukan Grim Reaper dan menimbulkan rasa takut pada orang lain Namun Ai terus melawan Kaiki demi kemanusiaan tidak peduli berapa kali dia mati

 Post Views 82","Action, Sci-Fi, Seinen",SENOO Shippo,-,7.2,https://komikcast.cz/wp-content/uploads/2024/07/Might-Through-Death.webp?w=225&q=50,2024
Ghoul ga Sekai wo Sukutta Koto wo Watashi dake ga shitteiru,"Only I Know the Ghoul Saved the World, グールが世界を救ったことを私だけが知っている",Manga,"Aku bukan pahlawan Aku monster yang memangsa monster Di dunia yang kacau di mana monster ganas merajalela ada monster yang mewarisi gelar pahlawan di kota suci benteng terakhir umat manusia di ambang kepunahan Alice seorang petualang pemula diserang oleh sekelompok besar manusia anjing Kobolds selama penjelajahan ruang bawah tanah pertamanya Orang yang menyelamatkan hidupnya adalah Leon pahlawan
Juruselamat generasi ketiga yang meskipun memiliki tubuh monster Ghoul memiliki hati manusia
Aku hanyalah hantu najis yang terus membunuh monster
Tidak kamu satusatunya pahlawan yang bisa menyelamatkan dunia
Entah kenapa Alice yang mengaguminya melamar menjadi murid Leon

 Post Views 24","Action, Adventure, Drama, Ecchi, Fantasy, Magic, Mature, Seinen",Katou Myoujin,-,7.0,https://komikcast.cz/wp-content/uploads/2023/07/ghoul.jpg?w=225&q=50,2023
Return of the Genius Player,천재 플레이어의 귀환,Manhwa,"hunter league adalah olahraga di mana hanya mereka yang memiliki kekuatan supernatural yang dapat bersaing menjanjikan ketenaran kejayaan dan hadiah luar biasa Changhyeon Lee memiliki semuanya namun menghadapi kejatuhan mendadak saat keterpurukannya Disingkirkan oleh timnya sendiri dunianya hancur tapi nasib menimpanya secara tak terduga ketika pertemuan fatal dengan truk seberat 10 ton mengakhiri hidupnya hanya untuk mengirimnya kembali ke masa ketika dia menemukan kekuatannya Berbekal kesempatan kedua Changhyeon bertekad untuk merebut kembali dan melampaui kejayaannya di hunter league

 Post Views 59","Action, Fantasy, Shounen",Asleep24Hours,-,7.0,https://komikcast.cz/wp-content/uploads/2024/05/64fa65w8e4.jpg?w=225&q=50,2024
Shingan no Yuusha,Hero of God Eye,Manga,"Maruta Makoto adalah seorang NEET yang tak berguna Suatu ketika dia dipanggil oleh seorang dewi kedunia lain untuk dijadikan pengikutnya akan tetapi sang dewi merasa melakukan pemanggilan yang salah Dia dianggap tidak berguna dan diterlantarkan di dunia lain tersebut
 

 Post Views 40","Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Isekai, Romance","Natsu, Natsuna (Art), Fast (Story), Akita, Hika (Art)",-,8.1,https://komikcast.cz/wp-content/uploads/2021/11/sny3453442-e1636162964877.jpg?w=225&q=50,2017
Road to Stardom,"톱스타, 그 자체",Manhwa,"Keajaiban dari akting dan mendapat kesempatan lagi Aktor Jihoon Seo kehilangan segalanya dalam sebuah kecelakaan kebakaran Tetapi dalam kehidupan yang penuh dengan masalah yang sepertinya tidak ada habisnya Halo yang ditakdirkan
Siapa kamu pak tua Hantu Sekarang dengan kesempatan lain akankah keajaiban itu bisa menjadi bintang top
 

 Post Views 78","Drama, Fantasy, Shounen","Seo Hong (Author),",-,0.0,https://komikcast.cz/wp-content/uploads/2022/03/tdo83324787332-e1647395562706.jpg?w=225&q=50,2022
My School Life Pretending to Be a Worthless Person,폐급인 척했던 학교생활,Manhwa,"Umat manusia menemukan esensi jiwa manusia Edeya dan mencapai materialisasi
Masyarakat dibangun di sekitar Edeya yang kebal terhadap senjata konvensional Umat manusia mulai menempatkan semua fokus mereka ke dalam kekuatan tempur Edeya
Park Jinsong karakter utama memiliki jiwa peringkat F dan kekuatan tempur peringkat F Setelah pengenalan program militer yang buruk ke sekolah menengahnya dan sistem peringkat Edeya Park Jinsong menjadi salah satu yang lemah dan menderita di bawah penghinaan temantemannya selama 10 tahun 
Namun pada kenyataannya Edeya yang telah dia bangun sebenarnya adalah Niat Membunuh Mutlak peringkat S
Park Jinsong sangat terganggu oleh kenyataan bahwa esensi jiwanya berputar di sekitar pikiran untuk membunuh orang lain dan terus menjalani hidupnya sambil menganggap dirinya sebagai peringkatF yang tidak berharga
Akankah Park Jinsong dengan jiwa untuk membunuh dapat mengendalikan niat membunuhnya dan membuktikan bahwa tidak ada peringkat untuk jiwa seseorang

 Post Views 233","Action, Drama, Fantasy, School Life, Shounen","Ppilippala, Sand Fairy (Author), todac_s (Aritst)",-,7.0,https://komikcast.cz/wp-content/uploads/2022/08/misol170822.png?w=225&q=50,2022
Black Killer Whale Baby,"A Villainous Baby Killer Whale, 흑막 범고래 아기님",Manhwa,"Calyso adalah karakter yang mengalami pengulangan reinkarnasi berkalikali sekarang adalah reinkarnasi keempatnya
Di kehidupan sebelumnya dia selalu mati sebelum menginjak usia 22 tahun dan akan kembali ke awal
Selama kehidupan ketiganya dia menyadari kalau dimensi bergejolak ketika naga mulai mengamuk Berdasarkan pengetahuan ini dia berencana menggunakan kekuatan naga untuk kembali ke dunia asalnya
Sekarang Calypso berada di dalam kisah anakanak di mana dia bertemu seorang pria yang dianggapnya sebagai ayahnya tapi dia tidak mengenalinya 
Mencari bantuannya Calypso melibatkan ayah dan keluarganya dalam misinya menjadikan mereka sebagai kawan yang bahkan tidak disadari oleh mereka sendiri dalam perjalanannya
Asupan yang manismanis dulu ya guys

 Post Views 762","Drama, Fantasy, Romance","MOON Sihyun, Team_Zena, Q00",-,7.8,https://komikcast.cz/wp-content/uploads/2024/07/Black_Whale_Killer-e1720101315681.png?w=225&q=50,2024
