id,title,image_similarity,genre_similarity,description_similarity,rate,ri_image_similarity,ri_genre_similarity,ri_description_similarity,ri_rate,ri_weight_image_similarity,ri_weight_genre_similarity,ri_weight_description_similarity,ri_weight_rate,S+i,S-i,Qi,rank
2982,Morning Glow is Golden: The IDOLM@STER,0.71875,16.66666667,0.151114417,7,0.10025618,0.036910674,0.492779362,0.096911081,0.025064045,0.009227668,0.12319484,0.02422777,0.181714324,0,0.181714324,1
237,The Dungeon Master,0.6875,100,0.074682768,7.8,0.095897215,0.221464041,0.243538158,0.107986633,0.023974304,0.05536601,0.060884539,0.026996658,0.167221512,0,0.167221512,2
3746,Shirogane x Kaguya – Telework,0.703125,0,0.127850183,7,0.098076697,0,0.416915427,0.096911081,0.024519174,0,0.104228857,0.02422777,0.152975801,0,0.152975801,3
4436,Hundreds of Option for Becoming A God,0.703125,100,0.048365571,7,0.098076697,0.221464041,0.157718607,0.096911081,0.024519174,0.05536601,0.039429652,0.02422777,0.143542607,0,0.143542607,4
4521,Ankoku Kishi no Ore desu Ga Saikyou no Seikishi wo Mezashimasu,0.71875,83.33333333,0.050733982,7.89,0.10025618,0.184553368,0.165441921,0.109232632,0.025064045,0.046138342,0.04136048,0.027308158,0.139871025,0,0.139871025,5
7002,37 Year Old Kindaichi Hajime Case Files,0.78125,16.66666667,0.086927015,7.9,0.108974108,0.036910674,0.283466262,0.109371077,0.027243527,0.009227668,0.070866565,0.027342769,0.13468053,0,0.13468053,6
1745,Child of Light,0.734375,83.33333333,0.043725116,7,0.102435662,0.184553368,0.142586228,0.096911081,0.025608915,0.046138342,0.035646557,0.02422777,0.131621585,0,0.131621585,7
1678,The Invincible of the East,0.71875,50,0.053003674,8.1,0.10025618,0.110732021,0.172843314,0.112139965,0.025064045,0.027683005,0.043210828,0.028034991,0.12399287,0,0.12399287,8
3755,Wang Gu Shen Wang,0.71875,33.33333333,0.064609082,7.9,0.10025618,0.073821347,0.210688185,0.109371077,0.025064045,0.018455337,0.052672046,0.027342769,0.123534197,0,0.123534197,9
2288,The Fate Of The Slain Monster,0.71875,50,0.051681197,7,0.10025618,0.110732021,0.168530759,0.096911081,0.025064045,0.027683005,0.04213269,0.02422777,0.11910751,0,0.11910751,10
